route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
4,2021_09_13-DX-MVS-Weekday-08,964556,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964506,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964526,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964477,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964555,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964486,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964558,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964493,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964559,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964489,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964557,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964472,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964528,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964488,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964567,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964481,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964575,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964495,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964562,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964478,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964574,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964491,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964577,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964483,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964565,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964504,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964560,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964519,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964569,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964490,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964570,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964499,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964563,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964516,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964564,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964473,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964578,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964507,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964568,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964508,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964566,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964515,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964592,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964509,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964571,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964505,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964572,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964455,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964573,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964512,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964579,Berryessa/North San Jose,1,,964593_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964591,Berryessa/North San Jose,1,,964593_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964561,Berryessa/North San Jose,1,,964593_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964576,Berryessa/North San Jose,1,,964593_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964625,San Francisco International Airport,1,,964625_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965969,Antioch via SFO,0,,965969_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964624,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,964654,Antioch,0,,964654_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964595,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965967,Antioch,0,,964654_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964618,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,966300,Antioch via SFO,0,,965969_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964605,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,966297,Antioch via SFO,0,,965969_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964616,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,966413,Antioch via SFO,0,,965969_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964606,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,966315,Antioch via SFO,0,,965969_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964612,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965962,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964610,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965965,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964621,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965963,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964601,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965966,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964600,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965964,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964607,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965968,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964617,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965982,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964615,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965999,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964604,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965986,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964619,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,966000,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964620,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965985,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964626,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965996,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964598,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965975,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964608,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,966012,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964597,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965990,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964609,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,966014,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964653,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965973,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964602,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,966020,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964650,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,965987,Antioch,0,,965962_shp,,1,1
1,2021_09_13-DX-MVS-Weekday-08,964652,San Francisco International Airport,1,,964624_shp,,1,1
2,2021_09_13-DX-MVS-Weekday-08,966013,Antioch,0,,965962_shp,,1,1
